question,answer
 what to do if i get a sore throat    ,   Make sure you get plenty of rest and drink a lot of fluids   Inhale steamRun hot water in a sink  Drape a towel over you to trap the steam and have the person lean over the sink with the water running   Tell him to breathe deeply through his mouth and nose for  to 0 minutes   Repeat several times a day   Have him sip chicken broth or warm tea with honey   Donâ€™t give honey to a child under  months of age       
Which medicine to take if I get a sore throat   ,      Make sure you get plenty of rest and drink a lot of fluids   Inhale steamRun hot water in a sink  Drape a towel over you to trap the steam and have the person lean over the sink with the water running   Tell him to breathe deeply through his mouth and nose for  to 0 minutes   Repeat several times a day   Have him sip chicken broth or warm tea with honey   Donâ€™t give honey to a child under  months of age       
How to cure sore throat     ,      Make sure you get plenty of rest and drink a lot of fluids   Inhale steamRun hot water in a sink  Drape a towel over you to trap the steam and have the person lean over the sink with the water running   Tell him to breathe deeply through his mouth and nose for  to 0 minutes   Repeat several times a day   Have him sip chicken broth or warm tea with honey   Donâ€™t give honey to a child under  months of age       
How do you treat Choking    ,     Encourage them to keep coughing to try to clear the blockage   Ask them to try to spit out the object if its in their mouth   If coughing doesnt work start back blows and Abdonominal thrusts     
what to do if i get a Choke    ,     Encourage them to keep coughing to try to clear the blockage   Ask them to try to spit out the object if its in their mouth   If coughing doesnt work start back blows and Abdonominal thrusts     
Which medicine to take if I get Choked   ,     Encourage them to keep coughing to try to clear the blockage   Ask them to try to spit out the object if its in their mouth   If coughing doesnt work start back blows and Abdonominal thrusts     
 How to cure Choking     ,     Encourage them to keep coughing to try to clear the blockage   Ask them to try to spit out the object if its in their mouth   If coughing doesnt work start back blows and Abdonominal thrusts     
How do you treat a wound  ,"Minor open wounds may not require medical treatment. However, people should clean the wound and dress it using a clean bandage. An unclean wound may cause a bacterial infection to occur."
what to do if i get a Wound  ,"Minor open wounds may not require medical treatment. However, people should clean the wound and dress it using a clean bandage. An unclean wound may cause a bacterial infection to occur."
Which medicine to take if I get wounded   ,"Minor open wounds may not require medical treatment. However, people should clean the wound and dress it using a clean bandage. An unclean wound may cause a bacterial infection to occur."
 How to cure a wound     ,"Minor open wounds may not require medical treatment. However, people should clean the wound and dress it using a clean bandage. An unclean wound may cause a bacterial infection to occur."
How do you treat bleeding  , First aid actions to manage external bleeding include applying direct pressure to the wound maintaining the pressure using pads and bandages and raising the injured limb above the level of the heart if possible        
what to do if i get a Bleeding   , First aid actions to manage external bleeding include applying direct pressure to the wound maintaining the pressure using pads and bandages and raising the injured limb above the level of the heart if possible        
Which medicine to take if I get bleeding    , First aid actions to manage external bleeding include applying direct pressure to the wound maintaining the pressure using pads and bandages and raising the injured limb above the level of the heart if possible        
How to cure Bleeding     , First aid actions to manage external bleeding include applying direct pressure to the wound maintaining the pressure using pads and bandages and raising the injured limb above the level of the heart if possible        
How to give CPR   ,     For an adult or child place the heel of one hand on the center of the chest at the nipple line   You can also push with one hand on top of the other   For an infant place two fingers on the breastbone   For an adult or child press down at least  inches   Make sure not to press on ribs   For an infant press down about  and / inches   Make sure not to press on the end of the breastbone   Do chest compressions only at the rate of 000 per minute or more   Let the chest rise completely between pushes   Check to see if the person has started breathing       
what to do in a CPR   ,     For an adult or child place the heel of one hand on the center of the chest at the nipple line   You can also push with one hand on top of the other   For an infant place two fingers on the breastbone   For an adult or child press down at least  inches   Make sure not to press on ribs   For an infant press down about  and / inches   Make sure not to press on the end of the breastbone   Do chest compressions only at the rate of 000 per minute or more   Let the chest rise completely between pushes   Check to see if the person has started breathing       
What steps to take in a CPR    ,     For an adult or child place the heel of one hand on the center of the chest at the nipple line   You can also push with one hand on top of the other   For an infant place two fingers on the breastbone   For an adult or child press down at least  inches   Make sure not to press on ribs   For an infant press down about  and / inches   Make sure not to press on the end of the breastbone   Do chest compressions only at the rate of 000 per minute or more   Let the chest rise completely between pushes   Check to see if the person has started breathing       
How to help a drowning person in CPR     ,     For an adult or child place the heel of one hand on the center of the chest at the nipple line   You can also push with one hand on top of the other   For an infant place two fingers on the breastbone   For an adult or child press down at least  inches   Make sure not to press on ribs   For an infant press down about  and / inches   Make sure not to press on the end of the breastbone   Do chest compressions only at the rate of 000 per minute or more   Let the chest rise completely between pushes   Check to see if the person has started breathing       
How do you treat a Fracture    ,     Stop any bleeding   Apply pressure to the wound with a sterile bandage a clean cloth or a clean piece of clothing   Immobilize the injured area   Dont try to realign the bone or push a bone thats sticking out back in   If youve been trained in how to splint and professional help isnt readily available apply a splint to the area above and below the fracture sites   Padding the splints can help reduce discomfort   Apply ice packs to limit swelling and help relieve pain   Dont apply ice directly to the skin   Wrap the ice in a towel piece of cloth or some other material   Treat for shock   If the person feels faint or is breathing in short rapid breaths lay the person down with the head slightly lower than the trunk and if possible elevate the legs       
what to do if i get a Fracture  ,     Stop any bleeding   Apply pressure to the wound with a sterile bandage a clean cloth or a clean piece of clothing   Immobilize the injured area   Dont try to realign the bone or push a bone thats sticking out back in   If youve been trained in how to splint and professional help isnt readily available apply a splint to the area above and below the fracture sites   Padding the splints can help reduce discomfort   Apply ice packs to limit swelling and help relieve pain   Dont apply ice directly to the skin   Wrap the ice in a towel piece of cloth or some other material   Treat for shock   If the person feels faint or is breathing in short rapid breaths lay the person down with the head slightly lower than the trunk and if possible elevate the legs       
Which medicine to take if I have a Fracture  ,     Stop any bleeding   Apply pressure to the wound with a sterile bandage a clean cloth or a clean piece of clothing   Immobilize the injured area   Dont try to realign the bone or push a bone thats sticking out back in   If youve been trained in how to splint and professional help isnt readily available apply a splint to the area above and below the fracture sites   Padding the splints can help reduce discomfort   Apply ice packs to limit swelling and help relieve pain   Dont apply ice directly to the skin   Wrap the ice in a towel piece of cloth or some other material   Treat for shock   If the person feels faint or is breathing in short rapid breaths lay the person down with the head slightly lower than the trunk and if possible elevate the legs       
 How to cure a Fracture     ,     Stop any bleeding   Apply pressure to the wound with a sterile bandage a clean cloth or a clean piece of clothing   Immobilize the injured area   Dont try to realign the bone or push a bone thats sticking out back in   If youve been trained in how to splint and professional help isnt readily available apply a splint to the area above and below the fracture sites   Padding the splints can help reduce discomfort   Apply ice packs to limit swelling and help relieve pain   Dont apply ice directly to the skin   Wrap the ice in a towel piece of cloth or some other material   Treat for shock   If the person feels faint or is breathing in short rapid breaths lay the person down with the head slightly lower than the trunk and if possible elevate the legs       
